chrom	start	end
NC_018228.1	19094	19110
NC_018228.1	19227	19243
NC_018228.1	19365	19381
NC_018228.1	19415	19431
NC_018228.1	19517	19535
NC_018228.1	19590	19606
NC_018228.1	19619	19635
NC_018228.1	19657	19673
NC_018228.1	19887	19903
NC_018228.1	20734	20750
NC_018228.1	21062	21078
NC_018228.1	21747	21763
NC_018228.1	21906	21924
NC_018228.1	22214	22230
NC_018228.1	22267	22283
NC_018228.1	22377	22393
NC_018228.1	22395	22411
NC_018228.1	22489	22511
NC_018228.1	22788	22804
NC_018228.1	22924	22940
NC_018228.1	23410	23428
NC_018228.1	23527	23551
NC_018228.1	23605	23627
NC_018228.1	24101	24119
NC_018228.1	24202	24222
NC_018228.1	24984	25002
NC_018228.1	25060	25076
NC_018228.1	26278	26302
NC_018228.1	26303	26327
NC_018228.1	26374	26392
NC_018228.1	26407	26423
NC_018228.1	27009	27025
NC_018228.1	27298	27314
NC_018228.1	27538	27558
NC_018228.1	27975	27991
NC_018228.1	28088	28104
NC_018228.1	28144	28162
NC_018228.1	28488	28504
NC_018228.1	28615	28637
NC_018228.1	29303	29321
NC_018228.1	29365	29381
NC_018228.1	29389	29405
NC_018228.1	29533	29551
NC_018228.1	29605	29621
NC_018228.1	29734	29752
NC_018228.1	29843	29859
NC_018228.1	29861	29885
NC_018228.1	29886	29910
NC_018228.1	30152	30168
NC_018228.1	30197	30215
NC_018228.1	30287	30303
NC_018228.1	30308	30324
NC_018228.1	30340	30364
NC_018228.1	30482	30502
NC_018228.1	30785	30803
NC_018228.1	30940	30960
NC_018228.1	31890	31906
NC_018228.1	31921	31937
NC_018228.1	32265	32281
NC_018228.1	32435	32451
NC_018228.1	32598	32622
NC_018228.1	32778	32794
NC_018228.1	32906	32922
NC_018228.1	33256	33272
NC_018228.1	33444	33460
NC_018228.1	33688	33704
NC_018228.1	33848	33864
NC_018228.1	33960	33976
NC_018228.1	34150	34166
NC_018228.1	34430	34446
NC_018228.1	34643	34659
NC_018228.1	34705	34721
NC_018228.1	34861	34879
NC_018228.1	35087	35105
NC_018228.1	35151	35167
NC_018228.1	35185	35203
NC_018228.1	35269	35285
NC_018228.1	35341	35357
NC_018228.1	35454	35470
NC_018228.1	35471	35487
NC_018228.1	35615	35633
NC_018228.1	35652	35674
NC_018228.1	35845	35861
NC_018228.1	35917	35935
NC_018228.1	36340	36360
NC_018228.1	36555	36571
NC_018228.1	36608	36626
NC_018228.1	36774	36790
NC_018228.1	36792	36808
NC_018228.1	36998	37022
NC_018228.1	37125	37141
NC_018228.1	37176	37192
NC_018228.1	37297	37313
NC_018228.1	37545	37561
NC_018228.1	37570	37594
NC_018228.1	37595	37619
NC_018228.1	37747	37771
NC_018228.1	37792	37816
NC_018228.1	37872	37888
NC_018228.1	37983	38005
NC_018228.1	38344	38360
NC_018228.1	38642	38658
NC_018228.1	38727	38745
NC_018228.1	38852	38868
NC_018228.1	38892	38908
NC_018228.1	38923	38939
NC_018228.1	39214	39230
NC_018228.1	39248	39272
NC_018228.1	39283	39307
NC_018228.1	39344	39360
NC_018228.1	39377	39393
NC_018228.1	39446	39462
NC_018228.1	39472	39488
NC_018228.1	39747	39765
NC_018228.1	39876	39894
NC_018228.1	39970	39994
NC_018228.1	40114	40130
NC_018228.1	40263	40279
NC_018228.1	40366	40386
NC_018228.1	40392	40410
NC_018228.1	40529	40547
NC_018228.1	40810	40830
NC_018228.1	41068	41084
NC_018228.1	41188	41204
NC_018228.1	41316	41334
NC_018228.1	41397	41413
NC_018228.1	41433	41449
NC_018228.1	41463	41481
NC_018228.1	41658	41682
NC_018228.1	41753	41769
NC_018228.1	41787	41803
NC_018228.1	41846	41862
NC_018228.1	42101	42117
NC_018228.1	42336	42352
NC_018228.1	42745	42761
NC_018228.1	42886	42902
NC_018228.1	43729	43747
NC_018228.1	43749	43765
NC_018228.1	43844	43868
NC_018228.1	43892	43914
NC_018228.1	43928	43946
NC_018228.1	44002	44024
NC_018228.1	44047	44063
NC_018228.1	44185	44201
NC_018228.1	44331	44347
NC_018228.1	44374	44390
NC_018228.1	44409	44425
NC_018228.1	44577	44593
NC_018228.1	44651	44673
NC_018228.1	45299	45315
NC_018228.1	45391	45407
NC_018228.1	45684	45700
NC_018228.1	45911	45927
NC_018228.1	46246	46262
NC_018228.1	46384	46404
NC_018228.1	46865	46881
NC_018228.1	47279	47299
NC_018228.1	47301	47323
NC_018228.1	47388	47404
NC_018228.1	47598	47616
NC_018228.1	47684	47702
NC_018228.1	47835	47855
NC_018228.1	47866	47882
NC_018228.1	47884	47900
NC_018228.1	47951	47971
NC_018228.1	47988	48008
NC_018228.1	48334	48354
NC_018228.1	48537	48557
NC_018228.1	48707	48723
NC_018228.1	49097	49113
NC_018228.1	49164	49180
NC_018228.1	49189	49209
NC_018228.1	49272	49296
NC_018228.1	49341	49361
NC_018228.1	49618	49634
NC_018228.1	49784	49800
NC_018228.1	49845	49865
NC_018228.1	50048	50064
NC_018228.1	50084	50100
NC_018228.1	50195	50215
NC_018228.1	50643	50659
NC_018228.1	50817	50835
NC_018228.1	50979	50997
NC_018228.1	51252	51268
NC_018228.1	51286	51310
NC_018228.1	51540	51562
NC_018228.1	51647	51663
NC_018228.1	51937	51953
NC_018228.1	52190	52212
NC_018228.1	52619	52635
NC_018228.1	52912	52928
NC_018228.1	53357	53377
NC_018228.1	53385	53401
NC_018228.1	53440	53456
NC_018228.1	53814	53830
NC_018228.1	53881	53897
NC_018228.1	54240	54256
NC_018228.1	54263	54281
NC_018228.1	54461	54485
NC_018228.1	54762	54778
NC_018228.1	54794	54816
NC_018228.1	54819	54835
NC_018228.1	54852	54872
NC_018228.1	55001	55017
NC_018228.1	55202	55218
NC_018228.1	55271	55287
NC_018228.1	55308	55324
NC_018228.1	55835	55851
NC_018228.1	55907	55925
NC_018228.1	56333	56353
NC_018228.1	56445	56461
NC_018228.1	56558	56576
NC_018228.1	56812	56830
NC_018228.1	56941	56963
NC_018228.1	57068	57084
NC_018228.1	57181	57197
NC_018228.1	57281	57297
NC_018228.1	57330	57346
NC_018228.1	57393	57411
NC_018228.1	57764	57780
NC_018228.1	57847	57863
NC_018228.1	57881	57897
NC_018228.1	57960	57980
NC_018228.1	58054	58070
NC_018228.1	58239	58255
NC_018228.1	58332	58348
NC_018228.1	58729	58745
NC_018228.1	58978	58994
NC_018228.1	59068	59084
NC_018228.1	59307	59323
NC_018228.1	59390	59406
NC_018228.1	59816	59840
NC_018228.1	60114	60130
NC_018228.1	61323	61339
NC_018228.1	61396	61412
NC_018228.1	61709	61727
NC_018228.1	61893	61909
NC_018228.1	62464	62480
NC_018228.1	62499	62515
NC_018228.1	62597	62615
NC_018228.1	62690	62712
NC_018228.1	62719	62735
NC_018228.1	63294	63310
NC_018228.1	63432	63448
NC_018228.1	63518	63538
NC_018228.1	63607	63629
NC_018228.1	63699	63719
NC_018228.1	63761	63785
NC_018228.1	63806	63824
NC_018228.1	64030	64046
NC_018228.1	64078	64096
NC_018228.1	64322	64338
NC_018228.1	64468	64484
NC_018228.1	64542	64558
NC_018228.1	64600	64616
NC_018228.1	64623	64639
NC_018228.1	64690	64706
NC_018228.1	64771	64791
NC_018228.1	65102	65118
NC_018228.1	65170	65188
NC_018228.1	65563	65579
NC_018228.1	65633	65649
NC_018228.1	66362	66378
NC_018228.1	66588	66604
NC_018228.1	66617	66633
NC_018228.1	66691	66707
NC_018228.1	67228	67244
NC_018228.1	67343	67359
NC_018228.1	67377	67393
NC_018228.1	67583	67599
NC_018228.1	67926	67942
NC_018228.1	68073	68089
NC_018228.1	68226	68242
NC_018228.1	68364	68380
NC_018228.1	68471	68487
NC_018228.1	68514	68538
NC_018228.1	68575	68591
NC_018228.1	68686	68702
NC_018228.1	68733	68755
NC_018228.1	68941	68957
NC_018228.1	69133	69149
NC_018228.1	69604	69620
NC_018228.1	70053	70069
NC_018228.1	70230	70246
NC_018228.1	70289	70309
NC_018228.1	70427	70443
NC_018228.1	70538	70560
NC_018228.1	70561	70577
NC_018228.1	70603	70623
NC_018228.1	70643	70659
NC_018228.1	70778	70798
NC_018228.1	70828	70844
NC_018228.1	70927	70951
NC_018228.1	71098	71116
NC_018228.1	71174	71190
NC_018228.1	71307	71327
NC_018228.1	71329	71345
NC_018228.1	71487	71503
NC_018228.1	71914	71930
NC_018228.1	72001	72019
NC_018228.1	72103	72119
NC_018228.1	72389	72405
NC_018228.1	72475	72491
NC_018228.1	72528	72544
NC_018228.1	72592	72612
NC_018228.1	72621	72639
NC_018228.1	72988	73012
NC_018228.1	73184	73208
NC_018228.1	73439	73455
NC_018228.1	73480	73496
NC_018228.1	73604	73628
NC_018228.1	73639	73655
NC_018228.1	74031	74049
NC_018228.1	74098	74118
NC_018228.1	74132	74148
NC_018228.1	74312	74328
NC_018228.1	74432	74448
NC_018228.1	74681	74701
NC_018228.1	74703	74719
NC_018228.1	74751	74767
NC_018228.1	74929	74945
NC_018228.1	75027	75043
NC_018228.1	75113	75133
NC_018228.1	75238	75254
NC_018228.1	75403	75421
NC_018228.1	75723	75739
NC_018228.1	76010	76026
NC_018228.1	76039	76055
NC_018228.1	76576	76592
NC_018228.1	76754	76770
NC_018228.1	77647	77665
NC_018228.1	77766	77782
NC_018228.1	78178	78194
NC_018228.1	78363	78379
NC_018228.1	78515	78533
NC_018228.1	78990	79006
NC_018228.1	79435	79451
NC_018228.1	79711	79727
NC_018228.1	79861	79877
NC_018228.1	80439	80457
NC_018228.1	81760	81776
NC_018228.1	82007	82023
NC_018228.1	82829	82847
NC_018228.1	83156	83172
NC_018228.1	84157	84173
NC_018228.1	84802	84818
NC_018228.1	85341	85357
NC_018228.1	86811	86827
NC_018228.1	86902	86918
NC_018228.1	86983	87003
NC_018228.1	87579	87595
NC_018228.1	87899	87915
NC_018228.1	88040	88058
NC_018228.1	88257	88273
NC_018228.1	88390	88406
NC_018228.1	88451	88475
NC_018228.1	88478	88498
NC_018228.1	88544	88560
NC_018228.1	88626	88642
NC_018228.1	88915	88931
NC_018228.1	89024	89044
NC_018228.1	89149	89167
NC_018228.1	89303	89319
NC_018228.1	89388	89404
NC_018228.1	89623	89639
NC_018228.1	89655	89673
NC_018228.1	89801	89817
NC_018228.1	90285	90301
NC_018228.1	90542	90558
NC_018228.1	90585	90601
NC_018228.1	90730	90746
NC_018228.1	90818	90836
NC_018228.1	90966	90982
NC_018228.1	91101	91117
NC_018228.1	91195	91211
NC_018228.1	91828	91850
NC_018228.1	91938	91954
NC_018228.1	91961	91977
NC_018228.1	92000	92016
NC_018228.1	92131	92147
NC_018228.1	92264	92288
NC_018228.1	92539	92555
NC_018228.1	92662	92680
NC_018228.1	93434	93458
NC_018228.1	93530	93550
NC_018228.1	93652	93668
NC_018228.1	93729	93745
NC_018228.1	94386	94410
NC_018228.1	94552	94572
NC_018228.1	94582	94604
NC_018228.1	94775	94799
NC_018228.1	94944	94968
NC_018228.1	94969	94993
NC_018228.1	95294	95310
NC_018228.1	96519	96537
NC_018228.1	96699	96715
NC_018228.1	96742	96758
NC_018228.1	96875	96891
NC_018228.1	97024	97040
NC_018228.1	97607	97631
NC_018228.1	97632	97656
NC_018228.1	97775	97793
NC_018228.1	97830	97846
NC_018228.1	97878	97900
NC_018228.1	97925	97943
NC_018228.1	98006	98022
NC_018228.1	98151	98175
NC_018228.1	98176	98192
NC_018228.1	98237	98261
NC_018228.1	98282	98298
NC_018228.1	98339	98355
NC_018228.1	98429	98449
NC_018228.1	98761	98783
NC_018228.1	98872	98888
NC_018228.1	99284	99300
NC_018228.1	99367	99383
NC_018228.1	99570	99586
NC_018228.1	99673	99689
NC_018228.1	99994	100010
NC_018228.1	100155	100173
NC_018228.1	100458	100476
NC_018228.1	100489	100505
NC_018228.1	100619	100635
NC_018228.1	100664	100680
NC_018228.1	100710	100728
NC_018228.1	101035	101051
NC_018228.1	101091	101115
NC_018228.1	101272	101288
NC_018228.1	101752	101768
NC_018228.1	101931	101947
NC_018228.1	102796	102816
NC_018228.1	102901	102917
NC_018228.1	103052	103068
NC_018228.1	103518	103538
NC_018228.1	103760	103778
NC_018228.1	103935	103951
NC_018228.1	104068	104090
NC_018228.1	104269	104285
NC_018228.1	104359	104375
NC_018228.1	104636	104656
NC_018228.1	104679	104695
NC_018228.1	104785	104809
NC_018228.1	104900	104916
NC_018228.1	105028	105044
NC_018228.1	105064	105084
NC_018228.1	105202	105226
NC_018228.1	105353	105373
NC_018228.1	105487	105503
NC_018228.1	105737	105753
NC_018228.1	105760	105784
NC_018228.1	106086	106102
NC_018228.1	106176	106192
NC_018228.1	106416	106436
NC_018228.1	106459	106475
NC_018228.1	106565	106589
NC_018228.1	106962	106982
NC_018228.1	107005	107021
NC_018228.1	107111	107127
NC_018228.1	107329	107345
NC_018228.1	107458	107478
NC_018228.1	107608	107626
NC_018228.1	107691	107707
NC_018228.1	107858	107874
NC_018228.1	108224	108240
NC_018228.1	108350	108366
NC_018228.1	108500	108516
NC_018228.1	109264	109280
NC_018228.1	109314	109332
NC_018228.1	109941	109957
NC_018228.1	110096	110112
NC_018228.1	110250	110266
NC_018228.1	110338	110354
NC_018228.1	110370	110388
NC_018228.1	110397	110413
NC_018228.1	110480	110496
NC_018228.1	110533	110553
NC_018228.1	110662	110686
NC_018228.1	110773	110789
NC_018228.1	110828	110844
NC_018228.1	110871	110895
NC_018228.1	110955	110971
NC_018228.1	111007	111027
NC_018228.1	111149	111171
NC_018228.1	111224	111246
NC_018228.1	111248	111264
NC_018228.1	111521	111539
NC_018228.1	112030	112046
NC_018228.1	112362	112378
NC_018228.1	112519	112535
NC_018228.1	112785	112801
NC_018228.1	112859	112875
NC_018228.1	113089	113105
NC_018228.1	113262	113278
NC_018228.1	113434	113450
NC_018228.1	113515	113531
NC_018228.1	113601	113617
NC_018228.1	113703	113719
NC_018228.1	113735	113755
NC_018228.1	113854	113870
NC_018228.1	113981	113997
NC_018228.1	114041	114057
NC_018228.1	114071	114087
NC_018228.1	114206	114226
NC_018228.1	114252	114276
NC_018228.1	114464	114480
NC_018228.1	114545	114565
NC_018228.1	115288	115308
NC_018228.1	115860	115882
NC_018228.1	115919	115943
NC_018228.1	115970	115986
NC_018228.1	116001	116017
NC_018228.1	116147	116163
NC_018228.1	116674	116690
NC_018228.1	116808	116824
NC_018228.1	117093	117109
NC_018228.1	117297	117313
NC_018228.1	117389	117413
NC_018228.1	117416	117432
NC_018228.1	117500	117518
NC_018228.1	117604	117622
NC_018228.1	117766	117790
NC_018228.1	117852	117868
NC_018228.1	118156	118172
NC_018228.1	118281	118297
NC_018228.1	118569	118585
NC_018228.1	118756	118772
NC_018228.1	118803	118827
NC_018228.1	118828	118852
NC_018228.1	118895	118913
NC_018228.1	119032	119048
NC_018228.1	119261	119277
NC_018228.1	120010	120026
NC_018228.1	120122	120146
NC_018228.1	120387	120403
NC_018228.1	120897	120913
NC_018228.1	120982	121002
NC_018228.1	121273	121291
NC_018228.1	122129	122145
NC_018228.1	122736	122752
NC_018228.1	122950	122966
NC_018228.1	123690	123706
NC_018228.1	123961	123985
NC_018228.1	124168	124184
NC_018228.1	124622	124638
NC_018228.1	124853	124869
NC_018228.1	124990	125014
NC_018228.1	125224	125240
NC_018228.1	125345	125369
NC_018228.1	125474	125496
NC_018228.1	125515	125539
NC_018228.1	125658	125682
NC_018228.1	125684	125704
NC_018228.1	125841	125857
NC_018228.1	126117	126135
NC_018228.1	126159	126175
NC_018228.1	126233	126251
NC_018228.1	126364	126388
NC_018228.1	126488	126508
NC_018228.1	126545	126569
NC_018228.1	126698	126722
NC_018228.1	126772	126788
NC_018228.1	126949	126973
NC_018228.1	127120	127140
NC_018228.1	127150	127168
NC_018228.1	127205	127223
NC_018228.1	127297	127319
NC_018228.1	127397	127413
NC_018228.1	127616	127634
NC_018228.1	127663	127679
NC_018228.1	127768	127788
NC_018228.1	127812	127836
NC_018228.1	127853	127871
NC_018228.1	127911	127927
NC_018228.1	128104	128120
NC_018228.1	128166	128186
NC_018228.1	128346	128368
NC_018228.1	128392	128410
NC_018228.1	128551	128567
NC_018228.1	129038	129054
NC_018228.1	129065	129081
NC_018228.1	129084	129100
NC_018228.1	129479	129495
NC_018228.1	129524	129540
NC_018228.1	129626	129642
NC_018228.1	129865	129881
NC_018228.1	129995	130011
NC_018228.1	130179	130195
NC_018228.1	130345	130361
NC_018228.1	130596	130614
NC_018228.1	130718	130734
NC_018228.1	130824	130844
NC_018228.1	130845	130861
NC_018228.1	131011	131027
NC_018228.1	131095	131115
NC_018228.1	131241	131257
NC_018228.1	131639	131655
NC_018228.1	132150	132168
NC_018228.1	132480	132498
NC_018228.1	132916	132938
NC_018228.1	132954	132970
NC_018228.1	133088	133110
NC_018228.1	133149	133173
NC_018228.1	133987	134003
NC_018228.1	134026	134042
NC_018228.1	134075	134091
NC_018228.1	134378	134394
NC_018228.1	134912	134928
NC_018228.1	134955	134979
NC_018228.1	135019	135035
NC_018228.1	135116	135132
NC_018228.1	135288	135304
NC_018228.1	135318	135334
NC_018228.1	135552	135568
NC_018228.1	135764	135780
NC_018228.1	136203	136219
NC_018228.1	136387	136411
NC_018228.1	136494	136518
NC_018228.1	136647	136663
NC_018228.1	136899	136915
NC_018228.1	137062	137078
NC_018228.1	137161	137177
NC_018228.1	137237	137253
NC_018228.1	137359	137375
NC_018228.1	137446	137462
NC_018228.1	137551	137567
NC_018228.1	137772	137788
NC_018228.1	137934	137952
NC_018228.1	138122	138138
NC_018228.1	138364	138380
NC_018228.1	138510	138526
NC_018228.1	138561	138581
NC_018228.1	138794	138812
NC_018228.1	138947	138963
NC_018228.1	139015	139031
NC_018228.1	139043	139059
NC_018228.1	139254	139278
NC_018228.1	139284	139300
NC_018228.1	139324	139340
NC_018228.1	139734	139750
NC_018228.1	139787	139811
NC_018228.1	139970	139986
NC_018228.1	140043	140059
NC_018228.1	140129	140153
NC_018228.1	140154	140172
NC_018228.1	140540	140556
NC_018228.1	140774	140792
NC_018228.1	140902	140922
NC_018228.1	140951	140967
NC_018228.1	140968	140984
NC_018228.1	141228	141244
NC_018228.1	141404	141420
NC_018228.1	141469	141485
NC_018228.1	141525	141541
NC_018228.1	142056	142072
NC_018228.1	142299	142315
NC_018228.1	142636	142652
NC_018228.1	142824	142840
NC_018228.1	142939	142963
NC_018228.1	142969	142985
NC_018228.1	143009	143025
NC_018228.1	143466	143482
NC_018228.1	143624	143646
NC_018228.1	143702	143718
NC_018228.1	143849	143865
NC_018228.1	143945	143961
NC_018228.1	144043	144059
NC_018228.1	144079	144095
NC_018228.1	144132	144148
NC_018228.1	144156	144172
NC_018228.1	144196	144212
NC_018228.1	144337	144357
NC_018228.1	144575	144591
NC_018228.1	144668	144684
NC_018228.1	144813	144833
NC_018228.1	144970	144990
NC_018228.1	145013	145029
NC_018228.1	145145	145161
NC_018228.1	145175	145191
NC_018228.1	145621	145637
NC_018228.1	145890	145910
NC_018228.1	145944	145960
NC_018228.1	146056	146072
NC_018228.1	146094	146110
NC_018228.1	146268	146290
NC_018228.1	146556	146572
NC_018228.1	146625	146647
NC_018228.1	146701	146719
NC_018228.1	146834	146850
NC_018228.1	146929	146949
NC_018228.1	147089	147107
NC_018228.1	147350	147374
NC_018228.1	147395	147411
NC_018228.1	147412	147428
NC_018228.1	147490	147510
NC_018228.1	147548	147564
NC_018228.1	147694	147710
NC_018228.1	147950	147966
NC_018228.1	148050	148066
NC_018228.1	148151	148167
NC_018228.1	148624	148640
NC_018228.1	148681	148701
NC_018228.1	148828	148844
NC_018228.1	149141	149161
NC_018228.1	149193	149211
NC_018228.1	149358	149382
NC_018228.1	149411	149429
NC_018228.1	149432	149452
NC_018228.1	149496	149520
NC_018228.1	149562	149578
NC_018228.1	149816	149840
NC_018228.1	149984	150000
NC_018228.1	150100	150116
NC_018228.1	150898	150914
NC_018228.1	151198	151214
NC_018228.1	151330	151348
NC_018228.1	151459	151475
NC_018228.1	151510	151526
NC_018228.1	151667	151683
NC_018228.1	151700	151716
NC_018228.1	151940	151956
NC_018228.1	152032	152048
NC_018228.1	152111	152127
NC_018228.1	152190	152206
NC_018228.1	152267	152285
NC_018228.1	152501	152517
NC_018228.1	152725	152741
NC_018228.1	152848	152864
NC_018228.1	153298	153314
NC_018228.1	153456	153476
NC_018228.1	153525	153541
NC_018228.1	153768	153784
NC_018228.1	154164	154180
NC_018228.1	154324	154340
NC_018228.1	154563	154581
NC_018228.1	154620	154636
NC_018228.1	154775	154791
NC_018228.1	154844	154864
NC_018228.1	154908	154924
NC_018228.1	154940	154956
NC_018228.1	155097	155113
NC_018228.1	155141	155157
NC_018228.1	155168	155186
NC_018228.1	155338	155354
NC_018228.1	155404	155428
NC_018228.1	155536	155552
NC_018228.1	155587	155603
NC_018228.1	155648	155672
NC_018228.1	155788	155804
NC_018228.1	155916	155934
NC_018228.1	156064	156080
NC_018228.1	156134	156150
NC_018228.1	156338	156354
NC_018228.1	156630	156646
NC_018228.1	156651	156667
NC_018228.1	156928	156944
NC_018228.1	157063	157079
NC_018228.1	157254	157270
NC_018228.1	157396	157412
NC_018228.1	157632	157648
NC_018228.1	157670	157686
NC_018228.1	157767	157785
NC_018228.1	157828	157844
NC_018228.1	157956	157972
NC_018228.1	158059	158083
NC_018228.1	158084	158104
NC_018228.1	158279	158297
NC_018228.1	158368	158384
NC_018228.1	158437	158453
NC_018228.1	158490	158506
NC_018228.1	158597	158613
NC_018228.1	158861	158877
NC_018228.1	158971	158989
NC_018228.1	159140	159158
NC_018228.1	159682	159698
NC_018228.1	160013	160029
NC_018228.1	160587	160603
NC_018228.1	160661	160677
NC_018228.1	160809	160825
NC_018228.1	160863	160879
NC_018228.1	160986	161002
NC_018228.1	161111	161135
NC_018228.1	161136	161152
NC_018228.1	162059	162075
NC_018228.1	162094	162110
NC_018228.1	162253	162269
NC_018228.1	162750	162766
NC_018228.1	162795	162811
NC_018228.1	162988	163004
NC_018228.1	163373	163389
NC_018228.1	163658	163674
NC_018228.1	163710	163726
NC_018228.1	163871	163893
NC_018228.1	164122	164138
NC_018228.1	164516	164532
NC_018228.1	164584	164600
NC_018228.1	164638	164654
NC_018228.1	164914	164930
NC_018228.1	164981	164997
NC_018228.1	165096	165120
NC_018228.1	165248	165264
NC_018228.1	165418	165434
NC_018228.1	165542	165566
NC_018228.1	165567	165583
NC_018228.1	165795	165811
NC_018228.1	165915	165939
NC_018228.1	165940	165956
NC_018228.1	166424	166440
NC_018228.1	166466	166482
NC_018228.1	166588	166604
NC_018228.1	166698	166714
NC_018228.1	166773	166789
NC_018228.1	166918	166934
NC_018228.1	167802	167818
NC_018228.1	167956	167972
NC_018228.1	168062	168078
NC_018228.1	169386	169402
NC_018228.1	169477	169493
NC_018228.1	170060	170078
NC_018228.1	170377	170393
NC_018228.1	170398	170414
NC_018228.1	170567	170583
NC_018228.1	170907	170925
NC_018228.1	171036	171052
NC_018228.1	171170	171186
NC_018228.1	171190	171206
NC_018228.1	171251	171267
NC_018228.1	171642	171660
NC_018228.1	171713	171733
NC_018228.1	171894	171910
NC_018228.1	171913	171929
NC_018228.1	171948	171964
NC_018228.1	172157	172173
NC_018228.1	172185	172201
NC_018228.1	172282	172300
NC_018228.1	172347	172363
NC_018228.1	172400	172424
NC_018228.1	172536	172552
NC_018228.1	172825	172841
NC_018228.1	173756	173772
NC_018228.1	173782	173798
NC_018228.1	173801	173817
NC_018228.1	173828	173844
NC_018228.1	173890	173906
NC_018228.1	174296	174312
NC_018228.1	174957	174975
NC_018228.1	175345	175361
NC_018228.1	175573	175589
NC_018228.1	175826	175842
NC_018228.1	176067	176083
NC_018228.1	176376	176392
NC_018228.1	176783	176803
NC_018228.1	177479	177495
NC_018228.1	177571	177587
NC_018228.1	177625	177641
NC_018228.1	177935	177951
NC_018228.1	177971	177987
NC_018228.1	178022	178038
NC_018228.1	178069	178085
NC_018228.1	178384	178402
NC_018228.1	178498	178514
NC_018228.1	178522	178542
NC_018228.1	178546	178570
NC_018228.1	178631	178647
NC_018228.1	179177	179195
NC_018228.1	179338	179354
NC_018228.1	179619	179635
NC_018228.1	179752	179768
NC_018228.1	179850	179868
NC_018228.1	179999	180015
NC_018228.1	180135	180159
NC_018228.1	180183	180199
NC_018228.1	180247	180263
NC_018228.1	180318	180334
NC_018228.1	180637	180653
NC_018228.1	181477	181493
NC_018228.1	181554	181570
NC_018228.1	181814	181830
NC_018228.1	182313	182331
NC_018228.1	182366	182382
NC_018228.1	182526	182542
NC_018228.1	182606	182630
NC_018228.1	182684	182702
NC_018228.1	182760	182776
NC_018228.1	183084	183100
NC_018228.1	183377	183401
NC_018228.1	183493	183515
NC_018228.1	183540	183556
NC_018228.1	183609	183625
NC_018228.1	183668	183684
NC_018228.1	183685	183701
NC_018228.1	183798	183822
NC_018228.1	184272	184290
NC_018228.1	184516	184532
NC_018228.1	184702	184718
NC_018228.1	184728	184744
NC_018228.1	184761	184779
NC_018228.1	184791	184807
NC_018228.1	184998	185014
NC_018228.1	185190	185206
NC_018228.1	185579	185595
NC_018228.1	186051	186067
NC_018228.1	186269	186285
NC_018228.1	186621	186637
NC_018228.1	186758	186774
NC_018228.1	187055	187071
NC_018228.1	187097	187121
NC_018228.1	187183	187199
NC_018228.1	187206	187226
NC_018228.1	187516	187532
